PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 13, 6, 12], [7, 3, 8, 2], [16, 9, 17, 10], [11, 7, 12, 6], [13, 19, 14, 18], [15, 23, 16, 22], [10, 17, 11, 18], [19, 1, 20, 24], [21, 15, 22, 14], [23, 21, 24, 20]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 13, 6, 12], [7, 3, 8, 2], [9, 17, 10, 16], [11, 7, 12, 6], [18, 13, 19, 14], [22, 15, 23, 16], [17, 11, 18, 10], [24, 19, 1, 20], [14, 21, 15, 22], [20, 23, 21, 24]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 5, 13, 6], [7, 3, 8, 2], [16, 10, 17, 9], [6, 11, 7, 12], [20, 13, 21, 14], [10, 16, 11, 15], [22, 17, 23, 18], [14, 19, 15, 20], [24, 21, 1, 22], [18, 23, 19, 24]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 5, 13, 6], [7, 3, 8, 2], [9, 16, 10, 17], [6, 11, 7, 12], [13, 21, 14, 20], [15, 10, 16, 11], [17, 23, 18, 22], [19, 15, 20, 14], [21, 1, 22, 24], [23, 19, 24, 18]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 13, 6, 12], [7, 3, 8, 2], [16, 10, 17, 9], [11, 7, 12, 6], [20, 13, 21, 14], [10, 16, 11, 15], [22, 17, 23, 18], [14, 19, 15, 20], [24, 21, 1, 22], [18, 23, 19, 24]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 13, 6, 12], [7, 3, 8, 2], [16, 10, 17, 9], [11, 7, 12, 6], [13, 21, 14, 20], [10, 16, 11, 15], [17, 23, 18, 22], [19, 15, 20, 14], [21, 1, 22, 24], [23, 19, 24, 18]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 5, 13, 6], [7, 3, 8, 2], [16, 10, 17, 9], [6, 11, 7, 12], [20, 14, 21, 13], [10, 16, 11, 15], [22, 18, 23, 17], [24, 20, 1, 19], [14, 22, 15, 21], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [12, 5, 13, 6], [7, 3, 8, 2], [9, 16, 10, 17], [6, 11, 7, 12], [13, 20, 14, 21], [15, 10, 16, 11], [17, 22, 18, 23], [19, 24, 20, 1], [21, 14, 22, 15], [23, 18, 24, 19]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 13, 6, 12], [7, 3, 8, 2], [16, 10, 17, 9], [11, 7, 12, 6], [20, 14, 21, 13], [10, 16, 11, 15], [22, 18, 23, 17], [24, 20, 1, 19], [14, 22, 15, 21], [18, 24, 19, 23]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 13, 6, 12], [7, 3, 8, 2], [16, 10, 17, 9], [11, 7, 12, 6], [13, 20, 14, 21], [10, 16, 11, 15], [17, 22, 18, 23], [19, 24, 20, 1], [21, 14, 22, 15], [23, 18, 24, 19]]
PD [[1, 5, 2, 4], [3, 9, 4, 8], [5, 13, 6, 12], [7, 3, 8, 2], [9, 16, 10, 17], [11, 7, 12, 6], [20, 14, 21, 13], [15, 10, 16, 11], [22, 18, 23, 17], [24, 20, 1, 19], [14, 22, 15, 21], [18, 24, 19, 23]]
